"scenario","n","estimator","parameter","truth","bias","sd_emp","mean_se","mse","coverage","n_succ","n_se"
"I_poisson_binary",2000,"bca","alpha0",-0.5,0.0492868981471503,0.0392127469677056,0.0383330073396973,0.00371056459959532,0.833333333333333,6,6
"I_poisson_binary",2000,"bca","alpha1",0.7,0.00844516823618657,0.018701138305275,0.0225979414028861,0.000362764678131682,1,6,6
"I_poisson_binary",2000,"bca","gamma",0.8,-0.067976896101045,0.0425716825093503,0.0449628436675585,0.0061311485299297,0.5,6,6
"I_poisson_binary",2000,"bca_b","alpha0",-0.5,0.43801362014775,0.0249114303675958,0.0657105698028934,0.19237308090407,0,6,6
"I_poisson_binary",2000,"bca_b","alpha1",0.7,0.389075389267851,0.068158785497238,0.063509637477924,0.155251008567645,0,6,6
"I_poisson_binary",2000,"bca_b","gamma",0.8,0.40579340638891,0.165367868910721,0.112552152696746,0.18745706539211,0,6,6
"I_poisson_binary",2000,"bca_g","alpha0",-0.5,1.31893562845678,0.048924332384135,0.031048818741804,1.74158585059537,0,6,6
"I_poisson_binary",2000,"bca_g","alpha1",0.7,0.123058269534113,0.0396226003618287,0.0451043610373837,0.0164516297502581,0.166666666666667,6,6
"I_poisson_binary",2000,"bca_g","gamma",0.8,0.0812723670012727,0.087696090216267,0.0622380067561035,0.0130140345040059,0.666666666666667,6,6
"I_poisson_binary",2000,"bcm","alpha0",-0.5,0.0266317160112902,0.0554131359289167,0.0391417788297318,0.00326809465893651,0.833333333333333,6,6
"I_poisson_binary",2000,"bcm","alpha1",0.7,0.0083305927662094,0.0186921338427583,0.0225690446083475,0.000360561998832745,1,6,6
"I_poisson_binary",2000,"bcm","gamma",0.8,-0.024541317631818,0.0738016122828648,0.0454291706622149,0.00514117458406436,0.833333333333333,6,6
"I_poisson_binary",2000,"bcm_b","alpha0",-0.5,0.41264240664903,0.0450278411584051,0.0660241017195987,0.171963344497926,0,6,6
"I_poisson_binary",2000,"bcm_b","alpha1",0.7,0.396367509461415,0.072126646481252,0.0643214179330079,0.161442413500505,0,6,6
"I_poisson_binary",2000,"bcm_b","gamma",0.8,0.482441789595101,0.197197447756338,0.114921711080478,0.265155774849069,0,6,6
"I_poisson_binary",2000,"bcm_g","alpha0",-0.5,1.29870427486474,0.0654216167294403,0.0311064257646682,1.69019945016487,0,6,6
"I_poisson_binary",2000,"bcm_g","alpha1",0.7,0.123283398282295,0.0396876877621075,0.0450657969668284,0.0165113900919498,0.166666666666667,6,6
"I_poisson_binary",2000,"bcm_g","gamma",0.8,0.13502081322745,0.122369361382913,0.0623570610642999,0.0307091705089868,0.666666666666667,6,6
"I_poisson_binary",2000,"cs","alpha0",-0.5,0.021095276986745,0.0611274438411747,0.0439315922582415,0.00355881436994413,0.833333333333333,6,6
"I_poisson_binary",2000,"cs","alpha1",0.7,0.00835721507124643,0.0186910505914703,0.0228179052252344,0.000360972520591154,1,6,6
"I_poisson_binary",2000,"cs","gamma",0.8,-0.0227739652247361,0.0769971341426342,0.0584908289196132,0.0054591190472065,1,6,6
"I_poisson_binary",2000,"cs_b","alpha0",-0.5,0.411171734599307,0.0468847346800158,0.0741844427344612,0.170894010621749,0,6,6
"I_poisson_binary",2000,"cs_b","alpha1",0.7,0.403354055397049,0.0766612110702089,0.0652120946157053,0.167591945074205,0,6,6
"I_poisson_binary",2000,"cs_b","gamma",0.8,0.496284348131629,0.207186151036391,0.150366867394796,0.282069905184831,0.166666666666667,6,6
"I_poisson_binary",2000,"cs_g","alpha0",-0.5,1.29870427486474,0.0654216167294403,0.0351238804427262,1.69019945016487,0,6,6
"I_poisson_binary",2000,"cs_g","alpha1",0.7,0.123283398282295,0.0396876877621075,0.0451352417314766,0.0165113900919498,0.166666666666667,6,6
"I_poisson_binary",2000,"cs_g","gamma",0.8,0.13502081322745,0.122369361382912,0.0808399439267902,0.0307091705089868,0.666666666666667,6,6
"I_poisson_binary",2000,"naive","alpha0",-0.5,0.117821892775399,0.0221459738726119,0.0362204916591297,0.0142907018828163,0,6,6
"I_poisson_binary",2000,"naive","alpha1",0.7,0.00876026084509318,0.0190872868281425,0.0228572026404765,0.000380345935457224,1,6,6
"I_poisson_binary",2000,"naive","gamma",0.8,-0.200879678038387,0.0128491789150512,0.044197514952618,0.0404902295477986,0,6,6
"I_poisson_binary",2000,"naive_b","alpha0",-0.5,0.514623651673743,0.0152565097026425,0.0650600186402028,0.265031470435607,0,6,6
"I_poisson_binary",2000,"naive_b","alpha1",0.7,0.366579394208635,0.058791588147067,0.0613602413022722,0.137260827955748,0,6,6
"I_poisson_binary",2000,"naive_b","gamma",0.8,0.16877971544577,0.115780384322003,0.106622364137376,0.0396575068407474,0.666666666666667,6,6
